PO_Item_Code,Ordered,Unit_Cost,Department_Name,Department_Code,Order_Date
58-00437,2.0,778.0,026404 Plumbing,026404,2024-12-10
15-11231S,1.0,47.88,026400 Carpenters,026400,2024-12-27
Lock Tool,1.0,199.0,026808 Facility Repair,026808,2024-07-17
91-00289S,5.0,16.24,026809 Preventive Maintenance,026809,2025-04-08
22-12975,1.0,31.6,026401 Electricians,026401,2025-05-05
Stores Tool,5.0,6.5,026804 Stores,026804,2024-08-16
Stores Tool,1.0,82.93,026804 Stores,026804,2024-08-16
Stores Tool,1.0,23.86,026804 Stores,026804,2024-08-16
Stores Tool,1.0,3.82,026804 Stores,026804,2024-08-16
Stores Tool,1.0,3.01,026804 Stores,026804,2024-08-16
Stores Tool,1.0,7.61,026804 Stores,026804,2024-08-16
Stores Tool,1.0,6.16,026804 Stores,026804,2024-08-16
Stores Tool,1.0,9.87,026804 Stores,026804,2024-08-16
Stores Tool,1.0,3.87,026804 Stores,026804,2024-08-16
Stores Tool,2.0,5.09,026804 Stores,026804,2024-08-16
Stores Tool,1.0,25.89,026804 Stores,026804,2024-08-16
Custodial Tool,10.0,2.09,026803 Custodial Services,026803,2024-10-08
Custodial Tool,1.0,25.32,026803 Custodial Services,026803,2024-10-08
Custodial Tool,6.0,18.04,026803 Custodial Services,026803,2024-10-08
Mechanical Tool,1.0,29.47,026403 Mechanicals,026403,2024-10-22
Carp Tool,3.0,20.85,026400 Carpenters,026400,2024-12-04
22-10883,5.0,15.97,026401 Electricians,026401,2024-06-24
35-11854S,1.0,15.73,026404 Plumbing,026404,2024-07-17
90-50924K,6.0,13.56,026809 Preventive Maintenance,026809,2024-07-09
40-10442,6.0,14.44,026808 Facility Repair,026808,2025-04-08
22-12909,1.0,158.42,026401 Electricians,026401,2024-09-27
59-12552S,2.0,1.59,026404 Plumbing,026404,2024-07-17
55-55070S,10.0,1.87,026404 Plumbing,026404,2024-07-17
22-12774,26.0,329.71,026401 Electricians,026401,2025-04-09
22-12972,1.0,795.0,026401 Electricians,026401,2025-04-25
90-11773,60.0,7.95,026809 Preventive Maintenance,026809,2025-05-13
59-11263S,2.0,3.93,026404 Plumbing,026404,2024-07-17
58-11015,1.0,17.27,026404 Plumbing,026404,2024-07-17
59-11588S,20.0,0.7,026404 Plumbing,026404,2024-07-17
59-11288,3.0,14.56,026404 Plumbing,026404,2024-07-17
59-11856,1.0,24.85,026404 Plumbing,026404,2024-08-12
59-11813,3.0,17.67,026404 Plumbing,026404,2024-08-12
35-25070,50.0,69.26,026803 Custodial Services,026803,2024-08-06
15-26875,3.0,1156.95,026400 Carpenters,026400,2024-09-17
71-00598,2.0,31.555,026403 Mechanicals,026403,2024-10-22
Carp Tool,2.0,21.65,026400 Carpenters,026400,2024-12-04
Carp Tool,1.0,52.16,026400 Carpenters,026400,2024-12-04
Carp Tool,10.0,2.3,026400 Carpenters,026400,2024-12-04
Carp tool,1.0,71.3,026400 Carpenters,026400,2024-12-04
Carp Tool,3.0,26.98,026400 Carpenters,026400,2024-12-04
15-26920S,12.0,10.69,026400 Carpenters,026400,2024-12-04
Carp Tool,2.0,16.55,026400 Carpenters,026400,2024-12-06
Mechanical Tool,1.0,27.53,026403 Mechanicals,026403,2024-12-13
35-10247K,2.0,6.75,026808 Facility Repair,026808,2024-12-23
Mechanical Tool,1.0,20.84,026403 Mechanicals,026403,2024-09-26
Mechanical Tool,1.0,30.86,026403 Mechanicals,026403,2024-09-26
PM Tool,1.0,55.12,026809 Preventive Maintenance,026809,2024-09-30
Tool,1.0,384.8,026400 Carpenters,026400,2024-10-09
Electrical Tool,1.0,172.13,026401 Electricians,026401,2024-10-15
Mechanical Tool,1.0,20.82,026403 Mechanicals,026403,2024-10-25
Electrical Tool,3.0,44.49,026401 Electricians,026401,2024-10-30
71-00541,1.0,116.59,026403 Mechanicals,026403,2024-11-21
Custodial Tool,6.0,17.73,026803 Custodial Services,026803,2024-12-06
91-00355,5.0,75.65,026809 Preventive Maintenance,026809,2024-12-10
Mechanical Tool,1.0,59.56,026403 Mechanicals,026403,2024-12-13
25-10512,10.0,5.01,026401 Electricians,026401,2024-12-20
44-10219S,4.0,9.25,026402 Painters,026402,2024-08-06
91-00337,2.0,34.77,026809 Preventive Maintenance,026809,2024-10-02
15-11236,2.0,53.95,026400 Carpenters,026400,2025-01-30
15-11238,1.0,17.29,026400 Carpenters,026400,2025-01-30
58-00447,6.0,24.7,026404 Plumbing,026404,2025-01-03
Toom Caprentry,1.0,48.62,026400 Carpenters,026400,2025-01-14
Toom Caprentry,1.0,89.2,026400 Carpenters,026400,2025-01-14
Tool Carpentry,1.0,74.89,026400 Carpenters,026400,2025-01-30
Tool Custodial,6.0,18.24,026803 Custodial Services,026803,2025-02-04
tool Custodial,10.0,8.72,026803 Custodial Services,026803,2025-02-04
90-11243K,8.0,64.65,026809 Preventive Maintenance,026809,2025-03-04
Stores Tool,1.0,37.92,026911 Stores_Inventory,026911,2025-03-05
71-13444,2.0,73.09,026403 Mechanicals,026403,2025-03-20
Carpentry Tool,1.0,38.19,026400 Carpenters,026400,2025-03-31
70-11578,1.0,245.8,026403 Mechanicals,026403,2025-04-04
71-53039S,12.0,2.59,026403 Mechanicals,026403,2024-11-04
58-00445,4.0,11.68,026404 Plumbing,026404,2024-12-20
58-00449,6.0,24.7,026404 Plumbing,026404,2025-01-03
95-10108S,1.0,135.95,026809 Preventive Maintenance,026809,2025-02-05
58-11015,5.0,17.27,026404 Plumbing,026404,2025-03-13
59-12758,4.0,29.39,026404 Plumbing,026404,2025-03-13
59-11486,3.0,8.63,026404 Plumbing,026404,2025-01-28
15-10742,6.0,11.18,026400 Carpenters,026400,2025-03-31
71-00169,2.0,318.5789,026403 Mechanicals,026403,2025-04-14
20-10702,15.0,1.99,026401 Electricians,026401,2024-11-13
90-10106K,12.0,16.47,026809 Preventive Maintenance,026809,2025-02-07
35-10774,2.0,20.07,026404 Plumbing,026404,2025-03-31
59-10352S,10.0,6.851,026404 Plumbing,026404,2024-06-24
35-11702,10.0,49.585,026404 Plumbing,026404,2024-06-24
59-11622,1.0,78.39,026404 Plumbing,026404,2024-06-24
Mechanical Tool,1.0,266.21,026403 Mechanicals,026403,2024-05-23
Mechanical Tool,1.0,101.56,026403 Mechanicals,026403,2024-05-23
Mechanical Tool,2.0,32.61,026403 Mechanicals,026403,2024-05-23
22-12892,1.0,704.6,026401 Electricians,026401,2024-05-28
44-10393,3.0,92.0,026402 Painters,026402,2024-06-24
44-10541,4.0,33.94,026402 Painters,026402,2024-06-24
35-51771K,6.0,7.3,026809 Preventive Maintenance,026809,2025-02-25
58-00491,19.0,89.65,026404 Plumbing,026404,2025-03-07
15-11236,3.0,53.95,026400 Carpenters,026400,2025-03-31
30-10001,6.0,13.87,026803 Custodial Services,026803,2024-05-31
44-10537,3.0,97.35,026402 Painters,026402,2024-06-24
44-10539,3.0,97.35,026402 Painters,026402,2024-06-24
71-00612,1.0,168.17,026403 Mechanicals,026403,2024-11-13
15-10574,6.0,6.0,026400 Carpenters,026400,2024-05-31
35-50313K,16.0,2.02,026804 Stores,026804,2025-04-15
35-50261K,16.0,5.81,026804 Stores,026804,2025-04-15
22-10216,10.0,14.38,026401 Electricians,026401,2025-01-28
35-10613S,5.0,27.046,026400 Carpenters,026400,2025-03-19
59-11622,1.0,69.93,026404 Plumbing,026404,2024-12-27
59-11622,1.0,69.93,026404 Plumbing,026404,2024-12-27
59-11813,8.0,17.67,026404 Plumbing,026404,2025-02-12
25-10499,1.0,940.93,026401 Electricians,026401,2024-06-07
90-11009,3.0,80.05,026809 Preventive Maintenance,026809,2025-02-04
71-00658,3.0,46.38,026403 Mechanicals,026403,2025-03-07
58-00390,1.0,714.0,026404 Plumbing,026404,2024-06-19
Tool PM,4.0,4.54,026809 Preventive Maintenance,026809,2024-05-15
Tool PM,4.0,10.55,026809 Preventive Maintenance,026809,2024-05-15
30-10502,50.0,22.84,026803 Custodial Services,026803,2024-05-31
91-00314,2.0,193.36,026809 Preventive Maintenance,026809,2024-06-12
20-12464,1.0,348.2,026401 Electricians,026401,2024-06-19
25-10492,4.0,225.0,026401 Electricians,026401,2024-05-21
90-11773,24.0,8.52,026809 Preventive Maintenance,026809,2024-05-30
90-11773,24.0,8.52,026809 Preventive Maintenance,026809,2024-06-24
70-11036,2.0,60.5777,026403 Mechanicals,026403,2024-11-04
35-30033,24.0,9.99,026400 Carpenters,026400,2024-08-20
30-21010,10.0,30.36,026803 Custodial Services,026803,2024-08-28
25-10522,2.0,225.26,026401 Electricians,026401,2025-03-06
30-21010,25.0,30.36,026803 Custodial Services,026803,2025-03-13
44-10504S,3.0,13.15,026402 Painters,026402,2024-10-17
44-10558K,4.0,5.94,026402 Painters,026402,2024-10-17
22-12935,1.0,128.91,026401 Electricians,026401,2024-12-10
15-26767,30.0,7.2,026400 Carpenters,026400,2024-08-12
35-10197K,2.0,7.39,026804 Stores,026804,2025-04-14
30-54039,45.0,71.74,026803 Custodial Services,026803,2025-05-05
59-11531,1.0,28.74,026404 Plumbing,026404,2024-06-26
30-54039,10.0,71.74,026803 Custodial Services,026803,2024-08-28
15-11214,1.0,269.05,026400 Carpenters,026400,2024-07-26
30-20205S,1.0,150.78,026803 Custodial Services,026803,2025-04-10
20-11214,10.0,1.34,026401 Electricians,026401,2024-07-23
35-20068K,2.0,15.73,026809 Preventive Maintenance,026809,2024-10-16
Custodial Tool,72.0,0.7092,026803 Custodial Services,026803,2024-11-04
Custodial Tool,144.0,0.8329,026803 Custodial Services,026803,2024-11-04
58-00310,1.0,23.5,026404 Plumbing,026404,2025-05-12
25-10006,1.0,1861.89,026401 Electricians,026401,2024-06-26
58-00399,2.0,17.304,026404 Plumbing,026404,2024-07-09
59-12054S,5.0,4.8,026404 Plumbing,026404,2024-12-04
59-10087S,13.0,2.52,026404 Plumbing,026404,2024-12-04
59-12054S,3.0,4.8,026404 Plumbing,026404,2024-12-04
59-10087S,3.0,2.52,026404 Plumbing,026404,2024-12-04
15-50463,2.0,87.36,026400 Carpenters,026400,2024-12-19
44-10025K,7.0,9.29,026402 Painters,026402,2025-02-04
58-00481,6.0,3.54,026404 Plumbing,026404,2025-02-06
59-11128S,3.0,5.28,026404 Plumbing,026404,2025-02-06
30-10553,30.0,41.1,026803 Custodial Services,026803,2025-03-13
30-23515,100.0,17.6,026803 Custodial Services,026803,2024-05-31
30-10568,11.0,123.7,026803 Custodial Services,026803,2024-08-28
22-12938,18.0,73.67,026401 Electricians,026401,2024-12-19
44-10060K,5.0,9.29,026402 Painters,026402,2025-02-04
15-10123,10.0,15.13,026400 Carpenters,026400,2025-03-19
58-00384,1.0,7.673,026404 Plumbing,026404,2024-05-16
71-00458,2.0,166.9,026403 Mechanicals,026403,2025-01-17
20-11211,1.0,43.65,026401 Electricians,026401,2024-07-23
35-20531K,8.0,2.99,026911 Stores_Inventory,026911,2024-07-23
15-11008,1.0,7108.0,026400 Carpenters,026400,2024-08-13
20-11279,1.0,25.53,026401 Electricians,026401,2024-09-25
91-00121,2.0,470.22,026809 Preventive Maintenance,026809,2024-07-23
30-10534,4.0,21.42,026803 Custodial Services,026803,2024-08-06
30-20583,50.0,4.75,026803 Custodial Services,026803,2024-08-06
30-10770S,50.0,8.7,026803 Custodial Services,026803,2024-08-22
30-10770S,24.0,8.7,026803 Custodial Services,026803,2024-09-23
30-10561,20.0,18.59,026803 Custodial Services,026803,2024-10-30
71-00077,1.0,578.94,026403 Mechanicals,026403,2024-12-16
30-20505,24.0,8.34,026803 Custodial Services,026803,2024-08-06
20-00156,1.0,492.0,026401 Electricians,026401,2024-10-11
71-13347,1.0,1813.9,026403 Mechanicals,026403,2024-10-04
58-00426,2.0,24.7,026404 Plumbing,026404,2024-11-18
71-57141S,3.0,10.32,026403 Mechanicals,026403,2025-02-03
71-57141S,3.0,10.32,026404 Plumbing,026404,2025-02-03
59-11590S,40.0,1.88,026404 Plumbing,026404,2025-03-14
59-11257,1.0,1.97,026404 Plumbing,026404,2025-03-14
58-00298,1.0,113.81,026404 Plumbing,026404,2024-07-09
30-21512,12.0,73.91,026803 Custodial Services,026803,2024-08-06
35-10746S,1.0,10.98,026403 Mechanicals,026403,2024-10-30
35-10755S,1.0,6.62,026403 Mechanicals,026403,2024-12-13
59-10311,2.0,49.55,026404 Plumbing,026404,2025-01-07
58-00298,2.0,123.26,026404 Plumbing,026404,2025-02-10
70-11002,10.0,27.85,026403 Mechanicals,026403,2025-03-03
25-10371,10.0,13.0,026401 Electricians,026401,2024-07-17
58-00428,6.0,14.99,026404 Plumbing,026404,2024-11-18
70-11049,1.0,164.5,026403 Mechanicals,026403,2025-01-14
30-10703,400.0,46.32,026803 Custodial Services,026803,2024-10-23
15-11233,4.0,590.0,026400 Carpenters,026400,2025-01-23
90-12116,12.0,4.6,026809 Preventive Maintenance,026809,2025-02-24
44-10576S,1.0,8.15,026402 Painters,026402,2025-03-07
44-10578S,1.0,6.54,026402 Painters,026402,2025-03-07
Plumbing Tool,1.0,6891.0,026404 Plumbing,026404,2025-02-05
55-53555,2.0,17.824,026404 Plumbing,026404,2024-05-15
22-12677,3.0,9.42,026401 Electricians,026401,2024-12-04
25-10322,1.0,146.9,026909 Electrical_Elevator_Inventory,026909,2025-03-04
59-10228,6.0,4.96,026404 Plumbing,026404,2025-03-20
35-20031K,12.0,3.86,026804 Stores,026804,2024-06-05
20-11926S,2.0,7.66,026401 Electricians,026401,2024-05-31
25-10501,2.0,832.69,026401 Electricians,026401,2024-06-24
91-00334,24.0,5.71,026809 Preventive Maintenance,026809,2025-04-28
22-11843,30.0,16.75,026401 Electricians,026401,2024-07-30
59-11476S,5.0,48.4,026404 Plumbing,026404,2024-08-16
58-00412,1.0,99.95,026404 Plumbing,026404,2024-10-07
58-11922S,21.0,4.2,026404 Plumbing,026404,2025-02-03
20-11961,5.0,275.32,026401 Electricians,026401,2024-07-09
35-10745S,1.0,23.16,026403 Mechanicals,026403,2024-10-30
30-10704,450.0,31.03,026803 Custodial Services,026803,2024-10-23
15-11234,1.0,590.0,026400 Carpenters,026400,2025-01-23
44-10577S,1.0,5.26,026402 Painters,026402,2025-03-07
44-10536,3.0,92.0,026402 Painters,026402,2024-11-20
58-00464,2.0,9.18,026404 Plumbing,026404,2025-02-05
35-10718,12.0,50.75,026809 Preventive Maintenance,026809,2024-11-25
Mechanical Tool,1.0,383.52,026403 Mechanicals,026403,2024-12-06
30-10541,7.0,93.18,026803 Custodial Services,026803,2025-02-07
Custodial Tool,8.0,310.0,026803 Custodial Services,026803,2025-02-17
22-12921,3.0,90.18,026401 Electricians,026401,2024-10-02
71-00553,1.0,406.3,026403 Mechanicals,026403,2024-11-04
25-10517,3.0,221.56,026401 Electricians,026401,2025-01-06
58-00488,1.0,204.94,026404 Plumbing,026404,2025-02-20
59-11474,1.0,20.54,026404 Plumbing,026404,2025-03-14
15-10944,9.0,110.0,026400 Carpenters,026400,2024-08-08
20-10713,500.0,0.6199,026401 Electricians,026401,2024-09-26
20-11418,5.0,28.66,026401 Electricians,026401,2024-05-15
15-10944,12.0,110.0,026400 Carpenters,026400,2024-06-19
35-10752,1.0,81.35,026403 Mechanicals,026403,2024-12-06
70-11522,3.0,130.02,026403 Mechanicals,026403,2025-01-28
58-00102S,6.0,3.46,026404 Plumbing,026404,2025-03-04
71-00260,1.0,174.83,026403 Mechanicals,026403,2024-05-15
71-52637,4.0,22.678,026403 Mechanicals,026403,2024-06-24
71-57089S,10.0,4.793,026403 Mechanicals,026403,2024-06-24
30-10748S,20.0,4.75,026803 Custodial Services,026803,2024-05-22
71-00584,2.0,290.3501,026403 Mechanicals,026403,2024-09-30
71-00565,6.0,85.0,026403 Mechanicals,026403,2024-08-05
22-12780,3.0,3.96,026401 Electricians,026401,2025-04-17
71-00564,6.0,17.34,026403 Mechanicals,026403,2024-08-05
15-11055,2.0,238.8,026400 Carpenters,026400,2024-08-08
70-19233,1.0,417.522,026403 Mechanicals,026403,2025-04-08
70-19111,4.0,101.2949,026403 Mechanicals,026403,2024-06-25
22-52083,2.0,308.36,026401 Electricians,026401,2024-09-26
Carpentry Tool,1.0,271.55,026400 Carpenters,026400,2024-06-24
90-10773,12.0,7.79,026809 Preventive Maintenance,026809,2024-07-29
15-11054,2.0,477.6,026400 Carpenters,026400,2024-08-08
20-11214,90.0,1.34,026401 Electricians,026401,2024-09-23
71-00174,1.0,66.17,026403 Mechanicals,026403,2024-09-26
71-12705,8.0,21.53,026403 Mechanicals,026403,2025-01-03
30-23515,100.0,17.6,026803 Custodial Services,026803,2025-02-07
90-10506,6.0,13.65,026809 Preventive Maintenance,026809,2025-03-31
22-12927,1.0,435.14,026401 Electricians,026401,2024-11-13
20-11281,2.0,1.64,026401 Electricians,026401,2025-03-11
59-12244,25.0,0.73,026404 Plumbing,026404,2025-01-14
22-12948,1.0,69.95,026401 Electricians,026401,2025-02-06
51-54410S,2.0,11.67,026404 Plumbing,026404,2025-03-17
58-00419,1.0,29.9,026404 Plumbing,026404,2024-11-13
71-12305,2.0,72.92,026403 Mechanicals,026403,2025-01-09
71-12430,2.0,34.46,026403 Mechanicals,026403,2025-02-11
30-10553,25.0,41.1,026803 Custodial Services,026803,2024-05-31
15-11055,2.0,238.8,026400 Carpenters,026400,2024-06-19
91-00311,24.0,28.09,026809 Preventive Maintenance,026809,2024-05-28
30-10357S,180.0,5.09,026803 Custodial Services,026803,2025-04-28
70-11988,4.0,210.5,026403 Mechanicals,026403,2024-06-25
71-00563,1.0,199.57,026403 Mechanicals,026403,2024-10-21
71-00601,2.0,211.32,026403 Mechanicals,026403,2024-10-29
91-00358K,4.0,11.22,026809 Preventive Maintenance,026809,2024-12-20
59-12132S,12.0,2.33,026404 Plumbing,026404,2025-01-30
70-19120,4.0,34.9001,026403 Mechanicals,026403,2024-11-25
70-19111,4.0,108.5067,026403 Mechanicals,026403,2025-03-24
15-11054,2.0,477.6,026400 Carpenters,026400,2024-06-19
25-10509,1.0,297.57,026401 Electricians,026401,2024-08-21
71-00673,1.0,250.8,026403 Mechanicals,026403,2025-03-26
20-10554,2.0,77.62,026401 Electricians,026401,2025-04-10
25-10005,1.0,2552.56,026401 Electricians,026401,2025-05-05
25-10004,1.0,1740.75,026401 Electricians,026401,2025-05-05
35-10569K,9.0,15.51,026804 Stores,026804,2024-07-23
35-20060K,2.0,17.49,026804 Stores,026804,2024-07-23
22-50721,500.0,1.0236,026401 Electricians,026401,2024-09-26
91-00344,1.0,16.95,026809 Preventive Maintenance,026809,2024-10-09
Plumbing Tool,3.0,69.97,026404 Plumbing,026404,2024-07-23
Plumbing Tool,3.0,21.47,026404 Plumbing,026404,2024-07-23
Mechanical Tool,1.0,60.75,026403 Mechanicals,026403,2024-09-27
Plumbing Tool,1.0,13.88,026404 Plumbing,026404,2025-01-14
Plumbing Tool,1.0,10.64,026404 Plumbing,026404,2025-01-14
Plumbing Tool,1.0,21.42,026404 Plumbing,026404,2025-01-14
Stores Tool,1.0,6.22,026804 Stores,026804,2025-02-06
Garage Tool,6.0,12.92,026806 Garage Services,026806,2025-02-14
Custoidla Tool,2.0,17.22,026803 Custodial Services,026803,2025-03-21
Carp Tool,1.0,216.68,026400 Carpenters,026400,2025-04-01
15-10742,6.0,11.71,026400 Carpenters,026400,2024-12-04
71-00636,1.0,363.0,026403 Mechanicals,026403,2024-12-19
22-12913,2.0,21.74,026401 Electricians,026401,2024-09-24
20-52104S,10.0,3.69,026401 Electricians,026401,2024-10-30
20-10779,1.0,278.67,026401 Electricians,026401,2024-10-30
90-11773,72.0,7.24,026809 Preventive Maintenance,026809,2024-11-07
22-50423S,30.0,9.44,026401 Electricians,026401,2024-12-13
90-11773,24.0,7.25,026809 Preventive Maintenance,026809,2025-03-06
90-11773,48.0,7.25,026809 Preventive Maintenance,026809,2025-03-26
71-00586,2.0,85.97,026403 Mechanicals,026403,2024-10-11
35-00435,1.0,52.5,026404 Plumbing,026404,2024-12-04
71-00630,4.0,8.15,026403 Mechanicals,026403,2024-12-13
15-11243,1.0,74.99,026400 Carpenters,026400,2025-02-20
91-00113,12.0,10.87,026809 Preventive Maintenance,026809,2024-05-28
58-00386,1.0,34.6,026404 Plumbing,026404,2024-06-07
71-57089S,3.0,4.08,026403 Mechanicals,026403,2024-12-23
59-10941,4.0,15.85,026404 Plumbing,026404,2025-01-16
71-53039S,10.0,2.59,026403 Mechanicals,026403,2025-01-17
71-52832,2.0,31.19,026403 Mechanicals,026403,2025-01-17
58-00489,2.0,7.11,026404 Plumbing,026404,2025-03-04
30-10201S,8.0,14.27,026803 Custodial Services,026803,2024-05-20
70-19057,4.0,58.4341,026403 Mechanicals,026403,2024-07-29
70-11036,2.0,60.5777,026403 Mechanicals,026403,2024-10-11
20-00431,2.0,125.0,026401 Electricians,026401,2024-10-11
22-50090,2.0,49.95,026401 Electricians,026401,2024-10-11
71-00592,2.0,61.2,026403 Mechanicals,026403,2024-10-16
71-00363,2.0,259.2338,026403 Mechanicals,026403,2024-06-19
30-10518,2.0,89.36,026803 Custodial Services,026803,2025-02-25
70-11440,1.0,24.0,026403 Mechanicals,026403,2025-03-04
35-20068K,10.0,15.73,026809 Preventive Maintenance,026809,2024-07-09
25-10408,4.0,95.0,026401 Electricians,026401,2024-07-12
35-20068K,42.0,15.35,026804 Stores,026804,2025-04-22
Electrical Tool,1.0,42.07,026401 Electricians,026401,2024-09-24
90-12061,12.0,8.53,026809 Preventive Maintenance,026809,2024-11-04
90-10773,12.0,7.52,026809 Preventive Maintenance,026809,2024-11-22
59-11271,2.0,2.52,026404 Plumbing,026404,2024-07-17
71-00687,1.0,29.41,026403 Mechanicals,026403,2025-05-05
30-21520,12.0,69.75,026803 Custodial Services,026803,2024-08-06
25-10508,1.0,743.94,026401 Electricians,026401,2024-08-07
30-10389S,120.0,4.27,026803 Custodial Services,026803,2024-10-01
91-00375,52.0,38.85,026809 Preventive Maintenance,026809,2025-05-13
70-19111,6.0,100.3626,026403 Mechanicals,026403,2024-10-04
22-50556,16.0,195.0,026401 Electricians,026401,2024-10-11
30-10004S,153.0,30.24,026803 Custodial Services,026803,2024-08-12
71-12357,4.0,7.32,026403 Mechanicals,026403,2024-12-23
71-00641,1.0,77.55,026403 Mechanicals,026403,2025-01-07
58-19022,3.0,35.19,026404 Plumbing,026404,2025-01-16
59-11531,1.0,45.58,026404 Plumbing,026404,2024-08-12
59-11309,2.0,30.21,026404 Plumbing,026404,2024-08-12
59-11663,1.0,299.9568,026403 Mechanicals,026403,2024-10-11
20-10391S,25.0,1.7846,026401 Electricians,026401,2025-01-28
44-10545S,6.0,15.32,026402 Painters,026402,2024-06-24
44-10491S,2.0,14.41,026402 Painters,026402,2024-06-24
15-11053,10.0,5.28,026400 Carpenters,026400,2024-07-31
25-10103,1.0,1478.59,026401 Electricians,026401,2024-08-01
58-11025,4.0,4.46,026404 Plumbing,026404,2024-08-05
59-13146S,10.0,5.48,026404 Plumbing,026404,2024-08-05
44-10415S,12.0,2.39,026402 Painters,026402,2024-06-24
44-10520S,2.0,6.36,026402 Painters,026402,2024-06-24
90-51439,9.0,72.43,026809 Preventive Maintenance,026809,2025-04-29
44-10388S,1.0,19.52,026402 Painters,026402,2024-06-24
15-20169S,6.0,6.89,026400 Carpenters,026400,2024-07-17
20-00204,1.0,1175.0,026401 Electricians,026401,2024-09-18
71-00458,4.0,162.2639,026403 Mechanicals,026403,2024-10-15
71-00424,1.0,460.0,026403 Mechanicals,026403,2024-11-21
70-19233,4.0,407.32,026403 Mechanicals,026403,2024-11-25
90-10651,20.0,30.46,026809 Preventive Maintenance,026809,2024-10-02
30-21520,12.0,81.77,026803 Custodial Services,026803,2025-02-24
71-00563,1.0,205.69,026403 Mechanicals,026403,2025-05-12
44-50015S,6.0,5.94,026402 Painters,026402,2024-06-24
44-10221,2.0,13.15,026402 Painters,026402,2024-06-24
58-00403,4.0,22.89,026404 Plumbing,026404,2024-08-05
20-11263,46.0,4.26,026401 Electricians,026401,2024-09-26
22-12780,21.0,3.96,026401 Electricians,026401,2024-09-26
71-00594,2.0,187.37,026403 Mechanicals,026403,2024-10-21
25-10408,6.0,95.0,026401 Electricians,026401,2025-02-17
35-10551,1.0,17.63,026400 Carpenters,026400,2024-11-04
15-50463,1.0,87.36,026400 Carpenters,026400,2024-12-26
58-00474,1.0,96.18,026404 Plumbing,026404,2025-01-14
71-57095,6.0,9.21,026403 Mechanicals,026403,2025-03-17
58-00506,1.0,106.42,026404 Plumbing,026404,2025-03-31
20-10149,5.0,6.54,026401 Electricians,026401,2024-05-21
70-19141,1.0,96.97,026403 Mechanicals,026403,2025-03-25
59-12261,2.0,58.58,026404 Plumbing,026404,2024-06-24
59-10914S,1.0,4.894,026404 Plumbing,026404,2024-06-24
58-13966,8.0,11.582,026404 Plumbing,026404,2024-06-24
30-23010,20.0,18.77,026803 Custodial Services,026803,2024-05-31
44-10443,4.0,93.3,026402 Painters,026402,2024-06-24
44-10284,16.0,18.4,026402 Painters,026402,2024-06-24
22-12933,1.0,898.73,026401 Electricians,026401,2024-12-10
71-00563,1.0,199.57,026403 Mechanicals,026403,2024-12-19
59-10685S,2.0,5.52,026404 Plumbing,026404,2025-01-17
35-10773,1.0,52.85,026404 Plumbing,026404,2025-03-17
15-10902,1.0,125.0,026400 Carpenters,026400,2024-05-31
44-10542S,12.0,17.0,026402 Painters,026402,2024-06-24
Carpentry Tool,1.0,33.31,026400 Carpenters,026400,2024-08-19
15-30020,10.0,44.8,026400 Carpenters,026400,2024-08-28
15-20081S,1.0,34.29,026400 Carpenters,026400,2024-09-17
35-50404K,16.0,15.18,026804 Stores,026804,2025-04-15
44-10543S,2.0,5.1,026402 Painters,026402,2024-06-24
58-11941S,20.0,5.7,026404 Plumbing,026404,2024-08-05
59-11269,2.0,6.11,026404 Plumbing,026404,2024-08-05
44-10489S,24.0,3.49,026402 Painters,026402,2024-06-24
35-50402K,12.0,4.29,026804 Stores,026804,2025-04-15
44-10460,4.0,8.53,026402 Painters,026402,2024-06-24
44-10488S,2.0,5.94,026402 Painters,026402,2024-06-24
44-10222S,2.0,4.26,026402 Painters,026402,2024-06-24
44-10461,1.0,22.11,026402 Painters,026402,2024-06-24
44-10544S,1.0,49.74,026402 Painters,026402,2024-06-24
15-11202,2.0,875.54,026400 Carpenters,026400,2024-10-09
90-11055K,6.0,10.59,026809 Preventive Maintenance,026809,2025-02-25
90-12092,12.0,12.34,026809 Preventive Maintenance,026809,2025-03-04
90-51849,4.0,384.07,026809 Preventive Maintenance,026809,2025-04-15
35-10779,2.0,20.2,026804 Stores,026804,2025-05-05
90-51817K,6.0,8.44,026809 Preventive Maintenance,026809,2025-05-05
59-10277S,3.0,8.01,026404 Plumbing,026404,2025-05-08
55-53529,1.0,41.66,026404 Plumbing,026404,2024-10-04
22-12970,1.0,43.19,026401 Electricians,026401,2025-04-21
90-10120K,6.0,13.97,026809 Preventive Maintenance,026809,2025-05-05
35-10434K,4.0,6.06,026804 Stores,026804,2024-06-26
22-12908,2.0,120.0,026401 Electricians,026401,2024-09-05
20-10759S,50.0,1.0478,026401 Electricians,026401,2024-09-24
20-11020S,30.0,0.8263,026401 Electricians,026401,2024-09-24
20-12675,1.0,209.12,026401 Electricians,026401,2024-09-24
71-13310,2.0,18.06,026403 Mechanicals,026403,2024-10-16
15-11223,2.0,42.49,026400 Carpenters,026400,2024-10-22
20-10178S,100.0,1.2203,026401 Electricians,026401,2024-12-19
25-10515,6.0,33.0,026401 Electricians,026401,2025-01-10
30-10113S,210.0,5.09,026803 Custodial Services,026803,2025-04-09
59-11318,2.0,30.48,026404 Plumbing,026404,2024-12-23
35-10754S,5.0,1.92,026404 Plumbing,026404,2024-12-10
